id,name,category,price,source,url,socket,power_draw,cores,threads,form_factor,memory_type,memory_slots,sticks,speed,gpu_length,memory,wattage,efficiency,capacity,interface,mobo_support,case_max_gpu_length,supported_sockets,type
cpu-i3-12100f,Intel Core i3-12100F,CPU,89.99,Overclockers UK,https://www.overclockers.co.uk,LGA1700,89,4,8,,,,,,,,,,,,,,
cpu-i5-12400f,Intel Core i5-12400F,CPU,159.99,Overclockers UK,https://www.overclockers.co.uk,LGA1700,117,6,12,,,,,,,,,,,,,,
cpu-r7-7800x3d,AMD Ryzen 7 7800X3D,CPU,429.99,Scan UK,https://www.scan.co.uk,AM5,120,8,16,,,,,,,,,,,,,,
mobo-b660m-pro,MSI B660M PRO-A DDR4,Motherboard,104.99,Scan UK,https://www.scan.co.uk,LGA1700,,,,,micro-ATX,DDR4,4,,,,,,,,,,,
mobo-b760m-mortar,MSI MAG B760M MORTAR WIFI DDR4,Motherboard,164.99,Overclockers UK,https://www.overclockers.co.uk,LGA1700,,,,,micro-ATX,DDR4,4,,,,,,,,,,,
mobo-x670e-hero,ASUS ROG CROSSHAIR X670E HERO,Motherboard,549.99,Overclockers UK,https://www.overclockers.co.uk,AM5,,,,,ATX,DDR5,4,,,,,,,,,,,
ram-vengeance-16gb-3200,Corsair Vengeance LPX 16GB (2x8GB) DDR4 3200MHz,RAM,34.99,Amazon UK,https://www.amazon.co.uk,,,,,,,DDR4,,2,3200,,,,,,,,,,
ram-trident-32gb-6000,G.Skill Trident Z5 RGB 32GB (2x16GB) DDR5 6000MHz,RAM,109.99,Scan UK,https://www.scan.co.uk,,,,,,,DDR5,,2,6000,,,,,,,,,,
gpu-rx6600,AMD Radeon RX 6600 8GB,GPU,199.99,Scan UK,https://www.scan.co.uk,,165,,,,,,,,,244,8,,,,,,,,
gpu-rtx4060ti,NVIDIA GeForce RTX 4060 Ti 8GB,GPU,409.99,Scan UK,https://www.scan.co.uk,,160,,,,,,,,,244,8,,,,,,,,
gpu-rtx4070ti,NVIDIA GeForce RTX 4070 Ti 12GB,GPU,749.99,Amazon UK,https://www.amazon.co.uk,,285,,,,,,,,,285,12,,,,,,,,
psu-cv550,Corsair CV550 550W 80+ Bronze,PSU,44.99,Amazon UK,https://www.amazon.co.uk,,,,,,,,,,,,,550,80+ Bronze,,,,,
psu-rm650e,Corsair RM650e 650W 80+ Gold,PSU,69.99,Scan UK,https://www.scan.co.uk,,,,,,,,,,,,,650,80+ Gold,,,,,
psu-rm850x,Corsair RM850x 850W 80+ Gold,PSU,119.99,Amazon UK,https://www.amazon.co.uk,,,,,,,,,,,,,850,80+ Gold,,,,,
case-h510,NZXT H510 Compact ATX Mid-Tower,Case,79.99,Overclockers UK,https://www.overclockers.co.uk,,,,,,ATX,,,,,,,,,,,350,LGA1700,
case-4000d,Corsair 4000D Airflow ATX Mid-Tower,Case,89.99,Amazon UK,https://www.amazon.co.uk,,,,,,ATX,,,,,,,,,,,360,LGA1700,
case-o11-dynamic,Lian Li O11 Dynamic EVO,Case,149.99,Overclockers UK,https://www.overclockers.co.uk,,,,,,ATX,,,,,,,,,,,420,AM5,
storage-870evo-500gb,Samsung 870 EVO 500GB 2.5" SATA SSD,Storage,49.99,Amazon UK,https://www.amazon.co.uk,,,,,,,,,,,,,,500,SATA,,,
storage-980pro-1tb,Samsung 980 PRO 1TB M.2 NVMe Gen4 SSD,Storage,89.99,Scan UK,https://www.scan.co.uk,,,,,,,,,,,,,,1000,NVMe,,,
storage-990pro-2tb,Samsung 990 PRO 2TB M.2 NVMe Gen4 SSD,Storage,179.99,Overclockers UK,https://www.overclockers.co.uk,,,,,,,,,,,,,,2000,NVMe,,,
cooler-hyper212,Cooler Master Hyper 212 Black Edition,Cooler,29.99,Amazon UK,https://www.amazon.co.uk,,,,,,,,,,,,,,,,,LGA1700,tower
cooler-darkrock4,be quiet! Dark Rock 4,Cooler,69.99,Scan UK,https://www.scan.co.uk,,,,,,,,,,,,,,,,,LGA1700,tower
cooler-nhd15,Noctua NH-D15 chromax.black,Cooler,99.99,Overclockers UK,https://www.overclockers.co.uk,,,,,,,,,,,,,,,,,AM5,tower
